service_id,date,exception_type
61469,20251209,1
61469,20251210,1
61470,20251209,1
61470,20251210,1
61470,20251211,1
61470,20251212,1
61471,20251209,1
61471,20251210,1
61471,20251211,1
61471,20251212,1
61471,20251213,1
61472,20251209,1
61472,20251210,1
61472,20251211,1
61472,20251212,1
61472,20251213,1
61472,20251214,1
61472,20251215,1
61472,20251216,1
61472,20251217,1
61472,20251218,1
61472,20251219,1
61472,20251220,1
61472,20251221,1
61472,20251222,1
61472,20251223,1
61472,20251224,1
61472,20251225,1
61472,20251226,1
61472,20251227,1
61472,20251228,1
61472,20251229,1
61472,20251230,1
61472,20251231,1
61472,20260101,1
61472,20260102,1
61472,20260103,1
61472,20260104,1
61472,20260105,1
61472,20260106,1
61472,20260107,1
61472,20260108,1
61472,20260109,1
61473,20251209,1
61473,20251210,1
61473,20251211,1
61473,20251212,1
61473,20251213,1
61473,20251214,1
61473,20251215,1
61473,20251216,1
61473,20251217,1
61473,20251218,1
61473,20251219,1
61473,20251220,1
61473,20251221,1
61473,20251222,1
61473,20251223,1
61473,20251224,1
61473,20251225,1
61473,20251226,1
61473,20251227,1
61473,20251228,1
61473,20251229,1
61473,20251230,1
61473,20251231,1
61473,20260102,1
61473,20260103,1
61473,20260104,1
61473,20260105,1
61473,20260106,1
61473,20260107,1
61473,20260108,1
61473,20260109,1
61474,20251209,1
61474,20251210,1
61474,20251211,1
61474,20251212,1
61474,20251213,1
61474,20251214,1
61474,20251215,1
61474,20251216,1
61474,20251217,1
61474,20251218,1
61474,20251219,1
61474,20251220,1
61474,20251221,1
61474,20251222,1
61474,20251223,1
61474,20251224,1
61474,20251225,1
61474,20251226,1
61474,20251227,1
61474,20251228,1
61474,20260101,1
61474,20260102,1
61474,20260103,1
61474,20260104,1
61474,20260105,1
61474,20260106,1
61474,20260107,1
61474,20260108,1
61474,20260109,1
61475,20251209,1
61475,20251210,1
61475,20251211,1
61475,20251212,1
61475,20251213,1
61475,20251214,1
61475,20251215,1
61475,20251216,1
61475,20251217,1
61475,20251218,1
61475,20251219,1
61475,20251220,1
61475,20251221,1
61475,20251222,1
61475,20251223,1
61475,20251224,1
61475,20251225,1
61475,20251226,1
61475,20251227,1
61475,20251228,1
61475,20260102,1
61475,20260103,1
61475,20260104,1
61475,20260105,1
61475,20260106,1
61475,20260107,1
61475,20260108,1
61475,20260109,1
61476,20251209,1
61476,20251210,1
61476,20251211,1
61476,20251212,1
61476,20251213,1
61476,20251214,1
61476,20251215,1
61476,20251216,1
61476,20251217,1
61476,20251218,1
61476,20251219,1
61476,20251220,1
61476,20251221,1
61476,20251222,1
61476,20251223,1
61476,20251225,1
61476,20251226,1
61476,20251227,1
61476,20251228,1
61476,20251229,1
61476,20251230,1
61476,20251231,1
61476,20260101,1
61476,20260102,1
61476,20260103,1
61476,20260104,1
61476,20260105,1
61476,20260106,1
61476,20260107,1
61476,20260108,1
61476,20260109,1
61477,20251209,1
61477,20251210,1
61477,20251211,1
61477,20251212,1
61477,20251213,1
61477,20251214,1
61477,20251215,1
61477,20251216,1
61477,20251217,1
61477,20251218,1
61477,20251219,1
61477,20251220,1
61477,20251221,1
61477,20251222,1
61477,20251223,1
61477,20251225,1
61477,20251226,1
61477,20251227,1
61477,20251228,1
61477,20251229,1
61477,20251230,1
61477,20260101,1
61477,20260102,1
61477,20260103,1
61477,20260104,1
61477,20260105,1
61477,20260106,1
61477,20260107,1
